wg_thick_um,coupling_gap_um,wg_width_um,delta_w_um,wg_width_left_um,wg_width_right_um,is_asymmetric,delta_w_reached,delta_w_brackets,delta_w_abs_err,delta_w_rel_err,delta_w_refine_used,eta_te_1550,eta_tm_1550,DeltaEta_1550,Vbar_te,Vbar_tm,Vbar_avg,DeltaEta_avg,sigma_tol,Lc,coupling_trim_factor,Score
0.275000,0.255000,1.080000,-0.323581,0.918210,1.241791,1,1,0,0.000000,0.000000,0,0.501071,0.501508,0.000437,0.999973,0.999695,0.999834,0.003830,0.000000,8.488895,0.000000,0.949730
0.280000,0.255000,1.080000,-0.323581,0.918210,1.241791,1,1,0,0.000000,0.000000,0,0.488806,0.491454,0.002648,0.998828,0.998931,0.998879,0.003459,0.000000,8.673848,0.000000,0.948592
0.280000,0.270000,1.070000,-0.323581,0.908210,1.231791,1,1,0,0.000000,0.000000,0,0.495363,0.494462,0.000902,0.999773,0.999414,0.999594,0.003472,0.000000,8.823304,0.000000,0.948533
0.280000,0.260000,1.080000,-0.323581,0.918210,1.241791,1,1,0,0.000000,0.000000,0,0.489724,0.488711,0.001013,0.998982,0.998440,0.998711,0.003327,0.000000,8.720650,0.000000,0.948453
0.275000,0.250000,1.080000,-0.323581,0.918210,1.241791,1,1,0,0.000000,0.000000,0,0.499659,0.504104,0.004445,0.999970,0.999648,0.999809,0.004674,0.000000,8.448568,0.000000,0.948218
0.275000,0.270000,1.070000,-0.323581,0.908210,1.231791,1,1,0,0.000000,0.000000,0,0.506576,0.503189,0.003387,0.999695,0.999721,0.999708,0.004815,0.000000,8.620099,0.000000,0.946978
0.275000,0.260000,1.080000,-0.323581,0.918210,1.241791,1,1,0,0.000000,0.000000,0,0.502448,0.498741,0.003707,0.999947,0.999628,0.999787,0.005115,0.000000,8.528597,0.000000,0.946913
0.280000,0.270000,1.075000,-0.323581,0.913210,1.236790,1,1,0,0.000000,0.000000,0,0.498358,0.495401,0.002957,0.999943,0.999497,0.999720,0.004379,0.000000,8.814146,0.000000,0.946892
0.280000,0.270000,1.080000,-0.323581,0.918210,1.241791,1,1,0,0.000000,0.000000,0,0.495845,0.493915,0.001930,0.999816,0.999362,0.999589,0.003872,0.000000,8.995996,0.000000,0.946865
0.280000,0.265000,1.080000,-0.323581,0.918210,1.241791,1,1,0,0.000000,0.000000,0,0.485403,0.483943,0.001460,0.998091,0.997340,0.997715,0.003359,0.000000,8.942802,0.000000,0.946283
0.275000,0.265000,1.080000,-0.323581,0.918210,1.241791,1,1,0,0.000000,0.000000,0,0.496996,0.493636,0.003359,0.999843,0.999202,0.999522,0.004730,0.000000,8.758636,0.000000,0.946269
0.270000,0.270000,1.075000,-0.323581,0.913210,1.236790,1,1,0,0.000000,0.000000,0,0.504317,0.507981,0.003664,0.999874,0.999401,0.999637,0.004393,0.000000,8.932882,0.000000,0.946186
0.270000,0.260000,1.080000,-0.323581,0.918210,1.241791,1,1,0,0.000000,0.000000,0,0.498000,0.502683,0.004682,0.999928,0.999692,0.999810,0.004897,0.000000,8.822628,0.000000,0.945903
0.270000,0.265000,1.080000,-0.323581,0.918210,1.241791,1,1,0,0.000000,0.000000,0,0.493809,0.497698,0.003890,0.999603,0.999588,0.999595,0.004409,0.000000,9.040279,0.000000,0.945576
0.270000,0.270000,1.070000,-0.323581,0.908210,1.231791,1,1,0,0.000000,0.000000,0,0.501735,0.506873,0.005137,0.999977,0.999516,0.999746,0.004914,0.000000,8.926934,0.000000,0.945285
0.275000,0.270000,1.080000,-0.323581,0.918210,1.241791,1,1,0,0.000000,0.000000,0,0.506303,0.502437,0.003866,0.999719,0.999730,0.999724,0.005202,0.000000,8.807143,0.000000,0.945284
0.280000,0.250000,1.080000,-0.323581,0.918210,1.241791,1,1,0,0.000000,0.000000,0,0.487968,0.493991,0.006023,0.998677,0.999282,0.998979,0.005384,0.000000,8.626523,0.000000,0.945078
0.270000,0.270000,1.080000,-0.323581,0.918210,1.241791,1,1,0,0.000000,0.000000,0,0.502035,0.506572,0.004537,0.999971,0.999531,0.999751,0.004723,0.000000,9.094194,0.000000,0.944835
0.275000,0.265000,1.065000,-0.323581,0.903209,1.226790,1,1,0,0.000000,0.000000,0,0.496310,0.503132,0.006822,0.999850,0.999742,0.999796,0.006009,0.000000,8.768954,0.000000,0.943934
0.280000,0.265000,1.065000,-0.323581,0.903209,1.226790,1,1,0,0.000000,0.000000,0,0.488722,0.495300,0.006578,0.998920,0.999522,0.999221,0.005780,0.000000,8.909962,0.000000,0.943110
0.280000,0.265000,1.070000,-0.323581,0.908210,1.231791,1,1,0,0.000000,0.000000,0,0.488389,0.494723,0.006334,0.998865,0.999474,0.999169,0.005588,0.000000,9.030216,0.000000,0.942843
0.270000,0.255000,1.080000,-0.323581,0.918210,1.241791,1,1,0,0.000000,0.000000,0,0.496672,0.505489,0.008817,0.999864,0.999584,0.999724,0.007881,0.000000,8.774570,0.000000,0.940089
0.275000,0.270000,1.075000,-0.323581,0.913210,1.236790,1,1,0,0.000000,0.000000,0,0.512908,0.505061,0.007847,0.998780,0.999627,0.999203,0.008626,0.000000,8.536170,0.000000,0.939271
0.275000,0.265000,1.070000,-0.323581,0.908210,1.231791,1,1,0,0.000000,0.000000,0,0.492451,0.501207,0.008755,0.999490,0.999775,0.999632,0.007838,0.000000,9.008677,0.000000,0.938912
0.280000,0.270000,1.065000,-0.323581,0.903209,1.226790,1,1,0,0.000000,0.000000,0,0.478780,0.483848,0.005068,0.996607,0.997745,0.997176,0.004953,0.000000,10.350415,0.000000,0.935518
0.270000,0.250000,1.080000,-0.323581,0.918210,1.241791,1,1,0,0.000000,0.000000,0,0.495508,0.508076,0.012568,0.999787,0.999373,0.999580,0.011587,0.000000,8.726026,0.000000,0.932775
0.280000,0.250000,1.070000,-0.323581,0.908210,1.231791,1,1,0,0.000000,0.000000,0,0.472794,0.477513,0.004719,0.994439,0.995865,0.995152,0.004794,0.000000,10.723450,0.000000,0.931947
0.275000,0.270000,1.065000,-0.323581,0.903209,1.226790,1,1,0,0.000000,0.000000,0,0.478158,0.486022,0.007864,0.996390,0.998248,0.997319,0.006807,0.000000,10.596447,0.000000,0.930722
0.270000,0.265000,1.070000,-0.323581,0.908210,1.231791,1,1,0,0.000000,0.000000,0,0.494399,0.507167,0.012769,0.999708,0.999499,0.999604,0.011783,0.000000,9.089710,0.000000,0.930589
0.280000,0.260000,1.075000,-0.323581,0.913210,1.236790,1,1,0,0.000000,0.000000,0,0.469494,0.478949,0.009455,0.992560,0.996010,0.994285,0.008625,0.000000,9.719170,0.000000,0.928439
0.275000,0.250000,1.070000,-0.323581,0.908210,1.231791,1,1,0,0.000000,0.000000,0,0.482071,0.477709,0.004362,0.997683,0.996040,0.996861,0.006086,0.000000,11.461511,0.000000,0.927381
0.275000,0.260000,1.075000,-0.323581,0.913210,1.236790,1,1,0,0.000000,0.000000,0,0.472727,0.485371,0.012644,0.993950,0.997806,0.995878,0.011755,0.000000,9.623663,0.000000,0.924250
0.280000,0.260000,1.070000,-0.323581,0.908210,1.231791,1,1,0,0.000000,0.000000,0,0.477520,0.491520,0.013999,0.996046,0.999189,0.997618,0.012980,0.000000,9.709143,0.000000,0.923111
0.280000,0.260000,1.065000,-0.323581,0.903209,1.226790,1,1,0,0.000000,0.000000,0,0.475954,0.489521,0.013567,0.995540,0.998913,0.997227,0.012479,0.000000,9.924592,0.000000,0.922646
0.280000,0.255000,1.075000,-0.323581,0.913210,1.236790,1,1,0,0.000000,0.000000,0,0.468659,0.481300,0.012642,0.992155,0.996773,0.994464,0.011771,0.000000,9.664522,0.000000,0.922599
0.280000,0.255000,1.070000,-0.323581,0.908210,1.231791,1,1,0,0.000000,0.000000,0,0.468049,0.480688,0.012639,0.991859,0.996585,0.994222,0.011752,0.000000,9.642651,0.000000,0.922505
0.275000,0.265000,1.075000,-0.323581,0.913210,1.236790,1,1,0,0.000000,0.000000,0,0.478870,0.493907,0.015038,0.996476,0.999458,0.997967,0.013997,0.000000,9.924123,0.000000,0.920353
0.270000,0.270000,1.065000,-0.323581,0.903209,1.226790,1,1,0,0.000000,0.000000,0,0.477152,0.492057,0.014905,0.995921,0.999251,0.997586,0.013790,0.000000,10.354913,0.000000,0.918231
0.275000,0.255000,1.075000,-0.323581,0.913210,1.236790,1,1,0,0.000000,0.000000,0,0.471728,0.487693,0.015966,0.993516,0.998343,0.995929,0.015038,0.000000,9.575634,0.000000,0.917975
0.280000,0.250000,1.075000,-0.323581,0.913210,1.236790,1,1,0,0.000000,0.000000,0,0.467847,0.483442,0.015595,0.991749,0.997396,0.994573,0.014692,0.000000,9.609301,0.000000,0.917141
0.280000,0.250000,1.065000,-0.323581,0.903209,1.226790,1,1,0,0.000000,0.000000,0,0.465982,0.480952,0.014970,0.990882,0.996730,0.993806,0.013991,0.000000,9.776849,0.000000,0.916940
0.280000,0.255000,1.065000,-0.323581,0.903209,1.226790,1,1,0,0.000000,0.000000,0,0.475016,0.491797,0.016781,0.995177,0.999266,0.997222,0.015663,0.000000,9.850819,0.000000,0.916642
0.275000,0.255000,1.070000,-0.323581,0.908210,1.231791,1,1,0,0.000000,0.000000,0,0.469692,0.485941,0.016248,0.992612,0.997982,0.995297,0.015295,0.000000,9.670435,0.000000,0.916355
0.270000,0.260000,1.075000,-0.323581,0.913210,1.236790,1,1,0,0.000000,0.000000,0,0.473621,0.490321,0.016700,0.994343,0.998827,0.996585,0.015701,0.000000,9.783371,0.000000,0.916265
0.275000,0.260000,1.070000,-0.323581,0.908210,1.231791,1,1,0,0.000000,0.000000,0,0.477999,0.496370,0.018371,0.996169,0.999674,0.997921,0.017291,0.000000,9.733183,0.000000,0.914673
0.275000,0.260000,1.065000,-0.323581,0.903209,1.226790,1,1,0,0.000000,0.000000,0,0.475266,0.492912,0.017646,0.995250,0.999390,0.997320,0.016505,0.000000,10.079333,0.000000,0.913912
0.275000,0.250000,1.075000,-0.323581,0.913210,1.236790,1,1,0,0.000000,0.000000,0,0.470843,0.490096,0.019254,0.993120,0.998811,0.995966,0.018292,0.000000,9.526923,0.000000,0.911747
0.270000,0.265000,1.075000,-0.323581,0.913210,1.236790,1,1,0,0.000000,0.000000,0,0.479050,0.498782,0.019732,0.996512,0.999788,0.998150,0.018620,0.000000,10.036172,0.000000,0.910730
0.270000,0.250000,1.070000,-0.323581,0.908210,1.231791,1,1,0,0.000000,0.000000,0,0.467692,0.484563,0.016871,0.991890,0.997807,0.994849,0.015720,0.000000,10.658010,0.000000,0.910119
0.270000,0.255000,1.075000,-0.323581,0.913210,1.236790,1,1,0,0.000000,0.000000,0,0.472725,0.492705,0.019981,0.993966,0.999198,0.996582,0.018955,0.000000,9.727575,0.000000,0.910035
0.270000,0.255000,1.070000,-0.323581,0.908210,1.231791,1,1,0,0.000000,0.000000,0,0.472135,0.492191,0.020056,0.993717,0.999136,0.996427,0.019020,0.000000,9.684677,0.000000,0.909963
0.275000,0.250000,1.065000,-0.323581,0.903209,1.226790,1,1,0,0.000000,0.000000,0,0.466282,0.484784,0.018502,0.991022,0.997777,0.994400,0.017441,0.000000,9.929208,0.000000,0.909871
0.275000,0.255000,1.065000,-0.323581,0.903209,1.226790,1,1,0,0.000000,0.000000,0,0.474326,0.495227,0.020901,0.994876,0.999635,0.997255,0.019741,0.000000,10.004370,0.000000,0.907751
0.270000,0.260000,1.070000,-0.323581,0.908210,1.231791,1,1,0,0.000000,0.000000,0,0.479574,0.501987,0.022413,0.996659,0.999817,0.998238,0.021311,0.000000,9.751339,0.000000,0.906859
0.270000,0.260000,1.065000,-0.323581,0.903209,1.226790,1,1,0,0.000000,0.000000,0,0.476478,0.499186,0.022709,0.995622,0.999821,0.997722,0.021583,0.000000,9.949139,0.000000,0.904810
0.270000,0.250000,1.075000,-0.323581,0.913210,1.236790,1,1,0,0.000000,0.000000,0,0.471678,0.495191,0.023513,0.993510,0.999487,0.996499,0.022455,0.000000,9.671252,0.000000,0.903233
0.270000,0.250000,1.065000,-0.323581,0.903209,1.226790,1,1,0,0.000000,0.000000,0,0.468478,0.491742,0.023264,0.992062,0.999113,0.995587,0.022166,0.000000,9.802390,0.000000,0.902242
0.270000,0.255000,1.065000,-0.323581,0.903209,1.226790,1,1,0,0.000000,0.000000,0,0.475524,0.501540,0.026016,0.995262,0.999847,0.997555,0.024874,0.000000,9.875852,0.000000,0.898428
0.270000,0.265000,1.065000,-0.323581,0.903209,1.226790,1,1,0,0.000000,0.000000,0,0.516120,0.479233,0.036887,0.996845,0.996725,0.996785,0.038744,0.000000,12.778083,0.000000,0.855407
0.280000,0.265000,1.075000,-0.323581,0.913210,1.236790,1,1,0,0.000000,0.000000,0,0.572495,0.488993,0.083502,0.953895,0.999104,0.976500,0.085472,0.000000,13.566624,0.000000,0.737722
0.265000,0.245000,1.065000,-0.323581,0.903209,1.226790,1,1,0,0.000000,0.000000,0,0.604304,0.381184,0.223120,0.916119,0.893982,0.905050,0.222792,0.000000,22.194693,0.000000,0.348493
0.265000,0.250000,1.065000,-0.323581,0.903209,1.226790,1,1,0,0.000000,0.000000,0,0.604421,0.380344,0.224077,0.915921,0.892527,0.904224,0.223775,0.000000,22.227651,0.000000,0.345535
